acquisition,configuration,fppi_budget,n_seeds,recall_mean,recall_sd
mterie,historical_additive,1.4454397707459279,5,0.4823728813559322,0.07412054730782848
mterie,historical_additive,1.4791083881682072,5,0.4859887005649718,0.07344132968652811
mterie,historical_additive,1.5135612484362087,5,0.4898305084745763,0.074412377689882
mterie,historical_additive,1.5488166189124812,5,0.4928813559322033,0.07406368095026629
mterie,historical_additive,1.584893192461114,5,0.4955932203389831,0.07363773407605455
mterie,historical_additive,1.6218100973589298,5,0.4986440677966102,0.07385868597066228
mterie,historical_additive,1.6595869074375613,5,0.5019209039548023,0.07427885394843033
mterie,historical_additive,1.6982436524617444,5,0.5053107344632768,0.0749078828253815
mterie,historical_additive,1.7378008287493762,5,0.5076836158192091,0.07511851319275824
mterie,historical_additive,1.7782794100389228,5,0.5102824858757062,0.07579933559542909
mterie,historical_additive,1.8197008586099843,5,0.5135593220338983,0.07580417812226603
mterie,historical_additive,1.8620871366628675,5,0.5164971751412428,0.07612813536211101
mterie,historical_additive,1.9054607179632483,5,0.5190960451977401,0.07565707993185858
mterie,historical_additive,1.9498445997580456,5,0.5236158192090394,0.07577722447655097
mterie,historical_additive,1.9952623149688808,5,0.5277966101694915,0.07707713955255233
mterie,historical_additive,2.0417379446695296,5,0.5297175141242938,0.07695404714930804
mterie,historical_additive,2.0892961308540388,5,0.5329943502824859,0.07758709977596433
mterie,historical_additive,2.1379620895022327,5,0.536045197740113,0.07692894862398163
mterie,historical_additive,2.1877616239495516,5,0.5385310734463277,0.07800130213320827
mterie,historical_additive,2.23872113856834,5,0.5411299435028248,0.07789995556495066
mterie,historical_additive,2.2908676527677723,5,0.5432768361581921,0.07749962803620379
mterie,historical_additive,2.344228815319923,5,0.5461016949152542,0.07674429536837656
mterie,historical_additive,2.39883291901949,5,0.5490395480225989,0.07728598800994214
mterie,historical_additive,2.454708915685031,5,0.5516384180790961,0.07656836851035534
mterie,historical_additive,2.5118864315095797,5,0.5550282485875706,0.07530418593133664
mterie,historical_additive,2.570395782768865,5,0.5577401129943503,0.07537599793163426
mterie,historical_additive,2.6302679918953813,5,0.5603389830508474,0.07620880478847451
mterie,historical_additive,2.691534803926917,5,0.5631638418079096,0.07631971672197298
mterie,historical_additive,2.7542287033381663,5,0.5654237288135593,0.07612079753872965
mterie,historical_additive,2.818382931264455,5,0.5687005649717515,0.07618492715870394
mterie,historical_additive,2.8840315031266055,5,0.5714124293785311,0.07666835282026409
mterie,historical_additive,2.951209226666387,5,0.5737853107344633,0.07601295477499687
mterie,historical_additive,3.019951720402016,5,0.575819209039548,0.07597599288867227
mterie,historical_additive,3.090295432513592,5,0.5780790960451978,0.07526581577339901
mterie,historical_additive,3.1622776601683795,5,0.58045197740113,0.07463360234247507
mterie,historical_additive,3.2359365692962845,5,0.5836158192090396,0.07450775829077759
mterie,historical_additive,3.311311214825911,5,0.5854237288135593,0.07412270047894864
mterie,historical_additive,3.3884415613920273,5,0.5877966101694916,0.07408199495884231
mterie,historical_additive,3.4673685045253166,5,0.5899435028248587,0.07277880052857064
mterie,historical_additive,3.548133892335757,5,0.592090395480226,0.07323960477514296
mterie,historical_additive,3.630780547701014,5,0.5944632768361582,0.07351517850649426
mterie,historical_additive,3.715352290971724,5,0.5974011299435029,0.07407660895574392
mterie,historical_additive,3.801893963205613,5,0.5998870056497175,0.07339676728567471
mterie,historical_additive,3.890451449942805,5,0.6020338983050848,0.07424769251790775
mterie,historical_additive,3.981071705534973,5,0.604180790960452,0.07403350682484469
